"Name","Item ID","Rarity","Icon Path"
"Unyielding","Artifact_Set1_HeavyHead","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendaryheavyhelmet3_head.webp"
"Void Darkplate","Artifact_Set1_HeavyChest","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendaryheavychest6_chest.webp"
"Magnetic Gauntlets","Artifact_Set1_HeavyHands","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendaryheavyforearms1_gloves.webp"
"Freedom","Artifact_Set1_HeavyLegs","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendarymediumthighs3_legs.webp"
"The Unmoved","Artifact_Set1_HeavyFeet","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendaryheavycalves2_feet.webp"
"Djinn Headwrap","Artifact_Set1_MediumHead","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_harbingermediumsmile_head.webp"
"Nimble Coat","Artifact_Set1_MediumChest","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_wraithhunterlightnailst3_chest.webp"
"Ghoul Gloves","Artifact_Set1_MediumHands","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendaryheavyforearms2_gloves.webp"
"Attuned Leather Pants","Artifact_Set1_MediumLegs","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendarymediumthighs1_legs.webp"
"Winged Leather Shoes","Artifact_Set1_MediumFeet","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendarymediumcalves1_feet.webp"
"Grey Wizard's Hat","Artifact_Set1_LightHead","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/cloth_setb_hat_t4.webp"
"Featherweight","Artifact_Set1_LightChest","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendarylightchest2_chest.webp"
"Quickdraw Gloves","Artifact_Set1_LightHands","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_nagacorruptedmedium_hands.webp"
"Koya's Knee Guards","Artifact_Set1_LightLegs","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_nagacorruptedmedium_legs.webp"
"Tumbler Feetwraps","Artifact_Set1_LightFeet","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_hexencirce_feet.webp"
"The Butcher","Artifact_Set1_1hLongsword","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/1hswords3artifacts.webp"
"Freya's Francisca","Artifact_Set1_1hThrowingAxe","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/1hhatchets3artifacts.webp"
"Spark of Mjölnir","Artifact_Set1_2hWarhammer","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/2hwarhammers3artifacts.webp"
"The Abyss","Artifact_Set1_2hGreatAxe","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/2hgreataxes3artifacts.webp"
"Boltcaster","Artifact_Set1_2hBow","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/2hbows3artifacts.webp"
"The Mechanic","Artifact_Set1_2hMusket","Artifact","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/2hmuskets3artifacts.webp"
